id,hoehe,geobreite,geolaenge,stationsname,bundesland
01584,673,47.9242, 8.6474,Geisingen                           ,Baden-Württemberg     
01587,536,48.9481,11.4289,Gelbelsee                           ,Bayern                
01590, 37,51.4942, 6.2463,Geldern-Walbeck                     ,Nordrhein-Westfalen   
01602,177,48.4330, 7.9930,Ohlsbach                            ,Baden-Württemberg     
01605, 35,52.3875,12.1602,Genthin                             ,Sachsen-Anhalt        
01612,311,50.8812,12.1289,Gera-Leumnitz                       ,Thüringen             
01639,203,50.6017, 8.6439,Gießen/Wettenberg                   ,Hessen                
01645,340,50.9656, 9.0500,Gilserberg-Moischeid                ,Hessen                
01666, 12,54.8273, 9.5058,Glücksburg-Meierwik                 ,Schleswig-Holstein    
01684,239,51.1621,14.9506,Görlitz                             ,Sachsen               
01691,167,51.5002, 9.9507,Göttingen                           ,Niedersachsen         
01694, 59,53.6058,12.1034,Goldberg                            ,Mecklenburg-Vorpommern
01721,506,49.6640,11.2239,Gräfenberg-Kasberg                  ,Bayern                
01735,628,48.7894,13.6290,Grainet-Rehberg                     ,Bayern                
01736, 26,53.5731,10.6797,Grambek                             ,Schleswig-Holstein    
01757,  2,54.0967,13.4056,Greifswald                          ,Mecklenburg-Vorpommern
01758,  2,54.1000,13.4500,Greifswald-Wieck                    ,Mecklenburg-Vorpommern
01759, 12,54.2437,13.9102,Greifswalder Oie                    ,Mecklenburg-Vorpommern
01766, 48,52.1344, 7.6969,Münster/Osnabrück                   ,Nordrhein-Westfalen   
01792, 27,52.7553, 7.4815,Groß Berßen                         ,Niedersachsen         
01803, 35,54.0714,12.3238,Groß Lüsewitz                       ,Mecklenburg-Vorpommern
01832,436,49.1129,13.1338,Großer Arber                        ,Bayern                
01833,307,49.0851,13.2801,Grosser Falkenstein                 ,Bayern                
01834,913,50.8519,10.4665,Grosser Inselsberg                  ,Thüringen             
01863,258,50.2667, 9.1854,Gründau-Breitenborn                 ,Hessen                
01869, 56,53.3154,13.9339,Grünow                              ,Brandenburg           
01886,444,48.4878,10.2608,Günzburg                            ,Bayern                
01892, 72,51.9298, 8.3005,Gütersloh (Flugplatz)               ,Nordrhein-Westfalen   
01902,413,49.1273,10.7448,Gunzenhausen/Altmühlsee             ,Bayern                
01957, 93,51.5138,11.9499,Halle-Kröllwitz                     ,Sachsen-Anhalt        
01960,102,51.4831,11.9671,Halle (Stadt)                       ,Sachsen-Anhalt        
01964,328,49.9445, 6.3821,Olsdorf                             ,Rheinland-Pfalz       
01975, 11,53.6332, 9.9881,Hamburg-Fuhlsbüttel                 ,Hamburg               
01981,  4,53.4776, 9.8957,Hamburg-Neuwiedenthal               ,Hamburg               
02014, 55,52.4644, 9.6779,Hannover                            ,Niedersachsen         
02023,501,48.7918,10.7062,Harburg                             ,Bayern                
02039,203,51.9002,10.5699,"Harzburg, Bad                       ",Niedersachsen         
02044,404,51.6520,11.1366,Harzgerode                          ,Sachsen-Anhalt        
02074,518,48.3752, 8.9800,Hechingen                           ,Baden-Württemberg     
02080,110,49.4206, 8.6676,Heidelberg                          ,Baden-Württemberg     
02081,561,49.3981, 8.7251,Königstuhl                          ,Baden-Württemberg     
02088,522,48.6849,10.1420,Heidenheim/Brenz                    ,Baden-Württemberg     
02110, 57,51.0411, 6.1042,Heinsberg-Schleiden                 ,Nordrhein-Westfalen   
02115,  4,54.1750, 7.8920,Helgoland                           ,Schleswig-Holstein    
02158,350,48.8042, 8.4430,"Herrenalb, Bad                      ",Baden-Württemberg     
02166,344,51.0167,14.7500,Herrnhut                            ,Sachsen               
02167,302,49.7672, 7.3356,Niederwörresbach                    ,Rheinland-Pfalz       
02171,272,50.8520, 9.7377,"Hersfeld, Bad                       ",Hessen                
02174,236,51.6255,10.3695,Herzberg                            ,Niedersachsen         
02201,  1,54.5750,13.1044,Hiddensee-Vitte                     ,Mecklenburg-Vorpommern
02211,295,50.7370, 7.6525,Hilgenroth                          ,Rheinland-Pfalz       
02244,008,47.7327, 8.1627,Höchenschwand                       ,Baden-Württemberg     
02252,271,50.8992,14.7456,Bertsdorf-Hörnitz                   ,Sachsen               
02261,565,50.3123,11.8760,Hof                                 ,Bayern                
02290,977,47.8009,11.0108,Hohenpeißenberg                     ,Bayern                
02303, 10,54.3162, 9.5385,Hohn                                ,Schleswig-Holstein    
02306,  8,54.3194,10.6732,Hohwacht                            ,Schleswig-Holstein    
02315, 80,51.7657,13.1666,Holzdorf-Bernsdorf                  ,Brandenburg           
02319,685,47.8823,11.6961,Holzkirchen                         ,Bayern                
02323,110,51.8529, 9.4953,"Bevern, Kr. Holzminden              ",Niedersachsen         
02338, 39,52.3333, 7.5500,Hopsten (Flugplatz)                 ,Nordrhein-Westfalen   
02362,328,50.5651, 7.4843,Hümmerich                           ,Rheinland-Pfalz       
02374,  3,54.4752, 9.0564,Husum                               ,Schleswig-Holstein    
02385,376,49.6927, 7.3263,Idar-Oberstein                      ,Rheinland-Pfalz       
02410,364,48.7111,11.5363,Ingolstadt-Manching                 ,Bayern                
02423,712,47.6894,10.0416,Isny                                ,Baden-Württemberg     
02429, 20,53.9897, 9.5697,Itzehoe                             ,Schleswig-Holstein    
02437, 21,54.4570, 9.5203,Schleswig-Jagel                     ,Schleswig-Holstein    
02444,155,50.9251,11.5830,Jena (Sternwarte)                   ,Thüringen             
02456,  7,53.5322, 7.8806,Jever                               ,Niedersachsen         
02477,728,47.5938, 7.9597,Jungholz (Kühmoos)                  ,Baden-Württemberg     
02480,108,50.0643, 8.9930,Kahl/Main                           ,Bayern                
02483,839,51.1803, 8.4891,Kahler Asten                        ,Nordrhein-Westfalen   
02485,489,48.9170, 9.6871,Kaisersbach-Cronhütte               ,Baden-Württemberg     
02486,271,49.4262, 7.7557,Kaiserslautern                      ,Rheinland-Pfalz       
02488,516,48.7701,10.7876,Kaisheim-Neuhof                     ,Bayern                
02494, 31,51.7329, 6.2688,Kalkar                              ,Nordrhein-Westfalen   
02497,505,50.5014, 6.5264,Kall-Sistig                         ,Nordrhein-Westfalen   
02503,487,50.6266,10.1455,Kaltennordheim                      ,Thüringen             
02521,374,48.6765,11.2961,Karlshuld                           ,Bayern                
02522,112,49.0382, 8.3641,Karlsruhe                           ,Baden-Württemberg     
02532,231,51.2963, 9.4424,Kassel                              ,Hessen                
02542,716,47.8652,10.6007,Kaufbeuren                          ,Bayern                
02559,705,47.7233,10.3348,Kempten                             ,Bayern                
02564, 28,54.3776,10.1424,Kiel-Holtenau                       ,Schleswig-Holstein    
02565, 17,54.3378,10.0929,Kiel-Kronshagen                     ,Schleswig-Holstein    
02575,432,49.1804, 9.9800,Kirchberg/Jagst-Herboldshausen      ,Baden-Württemberg     
02578, 14,53.9995,11.4341,Kirchdorf/Poel                      ,Mecklenburg-Vorpommern
02597,282,50.2240,10.0792,"Kissingen, Bad                      ",Bayern                
02600,193,49.7363,10.1781,Kitzingen                           ,Bayern                
02601,822,50.2218, 8.4469,Kleiner Feldberg/Taunus             ,Hessen                
02618,732,50.8458,10.4803,Kleiner Inselsberg                  ,Thüringen             
02627,128,51.5554,13.8845,Schipkau-Klettwitz                  ,Brandenburg           
02629, 46,51.7612, 6.0954,Kleve                               ,Nordrhein-Westfalen   
02638,974,48.1054, 8.7548,Klippeneck                          ,Baden-Württemberg     
02641, 90,51.5185,12.9065,Klitzschen bei Torgau               ,Sachsen               
02656, 96,50.3519, 7.5906,Koblenz                             ,Rheinland-Pfalz       
02667, 91,50.8645, 7.1575,Köln/Bonn                           ,Nordrhein-Westfalen   
02680,289,50.2840,10.4456,"Königshofen, Bad                    ",Bayern                
02691,378,48.6707,11.2173,Königsmoos-Untermaxfeld             ,Bayern                
02693,380,50.1855, 8.4698,Königstein/Taunus                   ,Hessen                
02700,416,48.8302,11.4872,Kösching                            ,Bayern                
02704, 76,51.7511,12.0094,Köthen (Anhalt)                     ,Sachsen-Anhalt        
02708,742,47.6652,11.0805,"Kohlgrub, Bad (Rosshof)             ",Bayern                
02712,428,47.6952, 9.1307,Konstanz                            ,Baden-Württemberg     
02738,776,47.6448,11.7438,Kreuth                              ,Bayern                
02750,310,50.2524,11.3209,Kronach                             ,Bayern                
02761,520,48.2510,10.4163,Krumbach-Edenhausen                 ,Bayern                
02773,415,49.4283,11.9016,Kümmersbruck                        ,Bayern                
02794, 40,52.9362,12.4093,Kyritz                              ,Brandenburg           
02796, 41,53.9156,12.2790,Laage-Kronskamp                     ,Mecklenburg-Vorpommern
02812,156,48.3647, 7.8280,Lahr                                ,Baden-Württemberg     
02814,687,48.5122, 9.7644,Merklingen                          ,Baden-Württemberg     
02829,617,48.0772,10.9144,Landsberg (Flugplatz)               ,Bayern                
02856, 91,51.9173,13.0878,Langenlipsdorf                      ,Brandenburg           
02878,117,51.3909,11.8786,"Lauchstädt, Bad                     ",Sachsen-Anhalt        
02886,539,48.2175, 9.9097,Laupheim                            ,Baden-Württemberg     
02905,550,48.1849,10.8507,Lechfeld                            ,Bayern                
02907,  7,54.7903, 8.9514,Leck                                ,Schleswig-Holstein    
02920,365,48.7654,12.5121,Leiblfing                           ,Bayern                
02925,356,51.3932,10.3123,Leinefelde                          ,Thüringen             
02928,138,51.3151,12.4462,Leipzig-Holzhausen                  ,Sachsen               
02932,131,51.4347,12.2396,Leipzig/Halle                       ,Sachsen               
02947,286,51.1333, 8.0348,Lennestadt-Theten                   ,Nordrhein-Westfalen   
02951, 20,53.1007,11.4864,Lenzen/Elbe                         ,Brandenburg           
02953,854,47.8597, 8.2308,Lenzkirch-Ruhbühl                   ,Baden-Württemberg     
02961,  0,54.4996,10.2737,Leuchtturm Kiel                     ,Schleswig-Holstein    
02968, 43,50.9894, 6.9777,Köln-Stammheim                      ,Nordrhein-Westfalen   
02985,321,50.9383,14.2094,Lichtenhain-Mittelndorf             ,Sachsen               
03015, 98,52.2085,14.1180,Lindenberg                          ,Brandenburg           
03023, 22,52.5181, 7.3081,Lingen                              ,Niedersachsen         
03028,157,51.7854, 8.8388,"Lippspringe, Bad                    ",Nordrhein-Westfalen   
03031, 92,51.6336, 8.3945,Lippstadt-Bökenförde                ,Nordrhein-Westfalen   
03032, 25,55.0110, 8.4125,List auf Sylt                       ,Schleswig-Holstein    
03034,496,50.4505,11.6350,"Lobenstein, Bad                     ",Thüringen             
03042,230,50.5617, 8.2386,Löhnberg-Obershausen                ,Hessen                
03044, 22,52.7198, 7.7472,Löningen                            ,Niedersachsen         
03083, 57,51.9267,13.8797,Lübben-Blumenfelde                  ,Brandenburg           
03085, 15,53.8773,10.6915,Lübeck                              ,Schleswig-Holstein    
03086, 15,53.8025,10.6989,Lübeck-Blankensee                   ,Schleswig-Holstein    
03093, 16,52.9724,11.1374,Lüchow                              ,Niedersachsen         
03098,387,51.2452, 7.6425,Lüdenscheid                         ,Nordrhein-Westfalen   
03126, 79,52.1029,11.5827,Magdeburg                           ,Sachsen-Anhalt        
03137,195,49.9656, 8.2139,Mainz-Lerchenberg (ZDF)             ,Rheinland-Pfalz       
03139,509,48.2166,11.2965,Maisach-Gernlinden                  ,Bayern                
03145, 30,54.1800,10.5528,"Malente, Bad-Gremsmühlen            ",Schleswig-Holstein    
03147,390,48.7548,12.2118,Mallersdorf-Pfaffenberg-Oberlindhart,Bayern                
03155,413,50.1015, 6.8009,Manderscheid-Sonnenhof              ,Rheinland-Pfalz       
03158, 12,52.5468,14.5453,Manschnow                           ,Brandenburg           
03164,187,50.8492, 8.7745,"Cölbe, Kr. Marburg-Biedenkopf       ",Hessen                
03166,639,50.6511,13.1469,Marienberg                          ,Sachsen               
03167,547,50.6621, 7.9603,"Marienberg, Bad                     ",Rheinland-Pfalz       
03170,  9,54.4937,11.2411,Marienleuchte                       ,Schleswig-Holstein    
03181,360,49.4875,10.6277,Markt Erlbach-Hagenhofen            ,Bayern                
03196, 81,53.3222,11.9321,Marnitz                             ,Mecklenburg-Vorpommern
03204,429,50.7335,10.8815,Martinroda                          ,Thüringen             
03226,107,51.7259,11.5109,Aschersleben-Mehringen              ,Sachsen-Anhalt        
03231,450,50.5611,10.3771,Meiningen                           ,Thüringen             
03234,158,51.1294,13.4328,Klipphausen-Garsebach               ,Sachsen               
03244,614,47.9821,10.1384,Memmingen                           ,Bayern                
03245,630,47.9833,10.2333,Memmingen (Flugplatz)               ,Bayern                
03246,181,50.3667, 7.3167,Mendig                              ,Rheinland-Pfalz       
03254, 19,52.7155, 7.3176,Meppen                              ,Niedersachsen         
03257,278,49.4797, 9.7832,"Mergentheim, Bad                    ",Baden-Württemberg     
03268,900,48.1694, 8.9433,Meßstetten-Appental                 ,Baden-Württemberg     
03271,314,48.8548,12.9189,Metten                              ,Bayern                
03274,415,49.5070, 6.5215,Mettlach-Orscholz (Kurort)          ,Saarland              
03278,354,48.5377, 9.2734,Metzingen                           ,Baden-Württemberg     
03284,240,49.6692, 9.0085,Michelstadt                         ,Hessen                
03287,453,49.7177, 9.0997,Michelstadt-Vielbrunn               ,Hessen                
03289,356,50.7281,11.7838,Schmieritz-Weltwitz                 ,Thüringen             
03307,984,47.4779,11.2653,Mittenwald-Buckelwiesen             ,Bayern                
03319,239,49.7644, 9.2530,Röllbach                            ,Bayern                
03321, 76,51.1313, 6.3608,Mönchengladbach-Hilderath           ,Nordrhein-Westfalen   
03340,265,50.4383, 7.8061,Montabaur                           ,Rheinland-Pfalz       
03348,241,51.7209, 9.8351,Moringen-Lutterbeck                 ,Niedersachsen         
03362,243,48.9721, 8.8735,Mühlacker                           ,Baden-Württemberg     
03366,406,48.2790,12.5024,Mühldorf                            ,Bayern                
